FeedbackID,ProductID,CustomerID,FeedbackScore,FeedbackDate
1,1,1,4.50,05/05/2023
2,2,2,3.80,06/04/2023
3,3,3,4.20,07/04/2023
,4,4,four-comma-seven,eleven March 2023
5,5,5,4.00,09/04/2023
6,6,6,4.10,10/04/2023
7,7,7,3.70,11/04/2023
8,8,8,3.20,12/04/2023
,9,9,3.9,13/04/2023
10,10,10,4.50,14/04/2023
11,11,11,4.20,16/04/2023
12,12,12,3.80,16/04/2023
13,13,13,4.00,17/04/2023
14,14,14,4.40,18/04/2023
15,15,15,4.20,19/04/2023
16,16,16,4.10,20/04/2023
17,17,17,4.30,21/04/2023
18,18,18,3.90,22/04/2023
19,19,19,4.50,23/04/2023
20,20,20,4.00,24/04/2023
21,21,21,3.80,25/04/2023
22,22,22,4.20,26/04/2023
23,23,23,3.70,27/04/2023
24,24,24,4.30,28/04/2023
25,25,25,4.40,29/04/2023
26,26,26,4.00,30/04/2023
27,27,27,3.90,01/05/2023
28,28,28,4.10,02/05/2023
29,29,29,3.50,03/05/2023
30,30,30,4.20,04/05/2023
31,31,31,4.40,05/05/2023
32,32,32,3.80,06/05/2023
33,33,33,4.00,07/05/2023
34,34,34,3.70,08/05/2023
35,35,35,4.20,09/05/2023
36,36,36,3.90,10/05/2023
37,37,37,4.30,11/05/2023
38,38,38,4.10,12/05/2023
39,39,39,3.50,13/05/2023
40,40,40,4.20,14/05/2023
41,41,41,4.40,15/05/2023
42,42,42,3.80,16/05/2023
43,43,43,4.00,17/05/2023
44,44,44,3.70,18/05/2023
45,45,45,4.20,19/05/2023
46,46,46,3.90,20/05/2023
47,47,47,4.30,21/05/2023
48,48,48,4.10,22/05/2023
49,49,49,3.50,23/05/2023
50,50,50,4.20,24/05/2023
51,51,51,4.40,25/05/2023
52,52,52,3.80,26/05/2023